w1,w2,w3,l1,l2,l3,ibias
47.0,45.0,9.5,0.5,1.0,1.0,1e-05
33.5,11.5,2.5,2.0,1.0,1.5,1e-05
30.5,16.5,38.5,1.0,0.5,1.5,2e-05
17.0,5.0,18.0,1.5,1.0,1.0,1.5e-05
21.5,42.0,45.0,0.5,0.5,1.5,5e-06
6.0,21.5,9.0,1.5,1.0,0.5,5e-06
21.0,15.5,38.0,1.5,1.0,1.5,2e-05
26.0,41.0,39.5,0.5,1.0,2.0,1.5e-05
45.0,27.5,44.5,1.0,1.0,2.0,1e-05
28.5,5.0,16.5,1.0,0.5,1.5,1.5e-05
31.0,3.5,44.0,2.0,1.5,1.0,2e-05
1.0,30.5,15.0,2.0,1.5,0.5,1e-05
38.0,5.5,19.0,2.0,1.5,1.0,1e-05
11.5,34.0,42.5,1.5,2.0,1.0,1e-05
20.0,49.5,19.5,2.0,2.0,1.5,1.5e-05
25.5,30.5,13.0,1.5,2.0,0.5,1e-05
14.0,10.5,32.5,2.0,1.5,0.5,5e-06
5.0,22.5,27.5,2.0,1.5,1.5,1.5e-05
46.0,11.5,8.5,1.5,1.5,1.5,5e-06
10.0,1.0,45.5,0.5,0.5,1.5,1e-05
19.0,4.0,17.0,0.5,1.5,1.0,1.5e-05
0.5,24.0,2.0,1.5,1.5,1.0,1e-05
35.5,24.5,44.0,1.0,1.5,0.5,1e-05
2.0,22.0,26.5,1.5,1.0,1.5,5e-06
14.0,38.0,8.5,1.5,1.0,2.0,1e-05
1.5,2.0,39.5,1.5,1.0,0.5,1.5e-05
12.5,18.0,46.5,1.5,2.0,1.0,5e-06
8.5,33.0,10.5,1.5,1.5,1.5,1e-05
47.0,43.0,10.5,2.0,1.0,2.0,2e-05
7.5,12.0,30.0,2.0,2.0,1.5,1.5e-05
17.5,22.5,15.0,1.0,1.5,2.0,1.5e-05
26.0,28.0,8.0,2.0,1.0,1.5,1.5e-05
39.0,12.0,31.5,1.0,1.0,1.0,1.5e-05
19.0,32.5,12.0,2.0,1.0,1.0,1.5e-05
5.5,6.5,15.0,0.5,1.0,1.5,1e-05
14.0,12.5,0.5,0.5,0.5,0.5,1e-05
17.5,44.5,33.0,1.0,0.5,1.5,2e-05
49.5,24.0,45.5,1.5,1.5,1.5,1.5e-05
34.5,31.5,41.5,1.5,1.5,0.5,1e-05
40.0,39.0,18.0,1.0,0.5,1.5,5e-06
42.5,48.5,37.0,1.5,2.0,2.0,5e-06
20.5,12.5,35.5,2.0,1.0,1.0,1e-05
1.0,29.0,30.5,1.5,1.0,2.0,5e-06
7.0,5.5,13.0,1.5,2.0,1.5,1e-05
9.5,21.0,38.5,1.0,2.0,1.5,1.5e-05
36.5,23.0,12.0,0.5,1.0,1.5,5e-06
7.5,19.5,25.0,2.0,2.0,0.5,2e-05
29.5,36.0,16.0,1.5,0.5,0.5,1.5e-05
12.5,38.0,21.0,1.0,1.5,0.5,1e-05
21.5,29.0,40.0,2.0,2.0,1.0,2e-05
44.0,9.0,47.5,1.0,0.5,2.0,2e-05
11.5,9.5,1.5,1.0,0.5,1.5,5e-06
37.0,1.0,18.5,1.0,2.0,2.0,5e-06
34.5,10.5,36.5,1.0,1.5,0.5,1.5e-05
16.5,16.0,47.5,1.0,1.5,1.0,2e-05
40.5,46.5,15.5,1.5,1.0,1.0,2e-05
46.0,10.5,4.0,1.0,0.5,1.0,1.5e-05
6.0,12.0,22.0,1.5,2.0,2.0,1.5e-05
1.5,38.0,21.0,1.5,1.5,1.0,2e-05
19.0,5.0,13.5,0.5,1.5,1.0,1e-05
13.0,38.0,11.0,0.5,0.5,1.0,1.5e-05
45.5,42.5,11.5,1.0,1.0,1.0,5e-06
5.0,47.0,49.0,0.5,1.5,1.5,2e-05
7.5,35.5,5.5,1.0,1.5,0.5,1.5e-05
11.5,9.0,16.0,1.0,1.0,1.0,1.5e-05
33.5,14.0,37.5,2.0,1.5,1.5,5e-06
11.5,19.0,48.5,1.5,0.5,1.5,1.5e-05
40.5,25.5,9.5,1.5,0.5,1.5,1.5e-05
36.5,27.5,11.5,1.0,1.5,2.0,1.5e-05
9.5,49.5,28.0,1.0,2.0,0.5,1e-05
16.0,4.0,7.0,0.5,1.0,0.5,1.5e-05
4.0,26.5,10.5,1.5,1.5,1.0,5e-06
38.0,16.0,14.0,0.5,0.5,0.5,1e-05
16.5,27.0,3.5,1.5,1.0,1.5,1e-05
19.5,49.5,28.5,2.0,1.5,2.0,1.5e-05
45.5,22.0,33.5,0.5,1.0,1.5,1.5e-05
19.5,35.5,25.0,1.5,1.5,2.0,1.5e-05
49.5,20.0,32.5,2.0,0.5,0.5,1e-05
15.0,1.0,35.0,0.5,1.5,1.5,1e-05
23.5,25.0,2.0,1.5,1.0,0.5,1.5e-05
14.5,18.0,36.0,1.0,1.5,2.0,5e-06
34.0,35.0,26.0,1.0,1.0,2.0,2e-05
27.0,1.5,2.5,1.5,1.5,1.0,1e-05
15.5,6.5,15.5,0.5,2.0,0.5,1.5e-05
26.5,9.5,23.0,1.5,0.5,1.5,1.5e-05
10.0,29.5,32.5,1.0,1.5,1.5,5e-06
2.5,14.0,19.0,1.0,1.0,1.5,2e-05
32.0,41.5,17.0,1.5,0.5,1.5,1e-05
41.5,34.5,36.5,0.5,1.0,1.0,1.5e-05
47.5,44.5,38.5,0.5,1.0,1.0,1e-05
18.5,39.0,38.0,1.0,2.0,1.5,1e-05
35.5,37.0,11.5,2.0,0.5,1.5,1e-05
4.0,43.5,0.5,1.0,0.5,1.5,1.5e-05
17.0,38.0,14.5,2.0,1.5,1.0,1e-05
44.0,47.0,46.0,0.5,1.0,1.5,1e-05
48.5,49.0,1.0,1.5,1.5,1.5,2e-05
23.5,40.5,36.5,1.0,1.0,1.0,1e-05
22.0,35.5,30.0,1.0,0.5,1.5,1e-05
20.0,30.5,15.5,0.5,2.0,1.5,1.5e-05
45.0,18.5,26.0,1.0,1.0,0.5,1e-05
38.5,35.5,1.0,1.0,2.0,1.0,5e-06
28.5,12.0,32.0,2.0,0.5,1.5,2e-05
33.5,49.5,50.0,1.5,2.0,1.5,1.5e-05
43.0,10.5,16.5,1.5,0.5,1.0,5e-06
2.0,41.0,20.0,0.5,2.0,1.0,1.5e-05
26.0,35.0,5.5,1.0,1.5,2.0,1.5e-05
11.0,37.5,34.5,0.5,1.5,1.0,2e-05
20.0,7.5,26.5,1.0,2.0,2.0,1e-05
24.0,47.5,7.0,1.0,1.5,1.5,1e-05
36.5,41.5,8.0,0.5,0.5,0.5,2e-05
6.5,29.5,15.0,1.0,1.0,1.5,5e-06
36.5,37.5,16.0,1.0,1.5,1.0,5e-06
34.0,16.0,33.5,0.5,1.5,2.0,1.5e-05
6.5,11.5,7.5,1.0,1.0,1.0,1.5e-05
2.5,27.0,41.5,1.5,2.0,1.0,1.5e-05
46.0,26.0,5.5,1.5,1.5,0.5,1.5e-05
26.0,43.5,12.5,1.5,1.0,2.0,1e-05
31.5,7.5,7.5,1.0,2.0,1.0,1e-05
14.5,31.0,26.5,1.0,0.5,1.0,1.5e-05
10.5,2.0,13.0,1.0,1.5,2.0,1.5e-05
11.5,26.5,48.0,1.0,1.5,1.5,1.5e-05
20.5,36.5,47.0,2.0,1.0,1.5,5e-06
40.0,34.0,23.0,1.5,1.5,1.5,1e-05
45.0,41.0,13.5,2.0,1.5,1.0,1e-05
8.5,4.5,35.5,1.5,1.5,1.5,1.5e-05
38.0,35.0,25.0,1.0,2.0,0.5,1.5e-05
23.0,30.0,22.5,0.5,1.5,2.0,1.5e-05
21.0,24.5,43.0,1.0,2.0,1.5,1e-05
7.0,28.5,2.0,1.5,1.0,1.0,5e-06
24.5,34.5,46.5,1.0,1.0,1.0,5e-06
10.5,2.0,39.5,2.0,1.0,1.0,2e-05
9.5,16.0,5.0,1.0,1.5,1.5,2e-05
13.0,31.0,46.5,1.5,0.5,1.5,2e-05
9.0,12.0,27.0,1.5,1.5,1.5,1e-05
9.0,29.5,37.0,0.5,1.0,1.0,5e-06
10.5,35.0,26.5,1.5,1.5,0.5,2e-05
22.0,13.5,27.0,1.5,2.0,2.0,1e-05
3.0,48.0,38.0,0.5,1.5,1.0,1e-05
26.0,10.5,38.0,1.5,1.0,2.0,2e-05
27.5,39.5,40.5,0.5,1.0,1.5,1.5e-05
6.5,47.0,32.0,2.0,1.0,1.5,1e-05
40.0,2.5,39.0,2.0,1.0,2.0,1e-05
10.5,13.0,39.5,0.5,1.0,1.5,2e-05
23.5,24.0,16.0,1.5,1.5,2.0,2e-05
44.5,4.5,29.0,1.5,1.0,1.5,1e-05
33.0,3.0,49.5,1.0,2.0,1.0,1.5e-05
18.5,0.5,39.5,1.0,1.5,1.0,1.5e-05
15.0,11.5,40.0,0.5,1.5,1.0,1e-05
6.0,40.5,18.5,1.0,2.0,1.0,1e-05
45.5,28.0,37.0,1.5,2.0,0.5,1e-05
24.5,21.5,24.5,1.5,1.5,0.5,1.5e-05
29.0,43.5,47.0,0.5,1.0,1.5,5e-06
15.0,13.0,15.5,0.5,1.0,1.5,1.5e-05
34.5,2.5,12.0,1.5,1.5,1.5,1.5e-05
23.5,36.0,1.5,1.0,1.5,1.0,1e-05
35.5,23.5,35.5,2.0,0.5,1.5,1e-05
30.0,14.0,23.0,1.0,1.0,1.0,2e-05
35.5,10.5,30.0,2.0,1.5,1.5,2e-05
32.0,33.5,10.5,1.5,1.5,0.5,1e-05
48.0,10.0,11.0,1.5,1.0,2.0,1e-05
37.0,3.0,34.5,1.5,1.5,1.0,5e-06
1.0,32.0,3.5,0.5,1.0,1.0,5e-06
15.5,6.5,36.0,2.0,1.5,1.5,1.5e-05
13.5,44.0,7.0,2.0,2.0,1.0,1.5e-05
15.5,18.5,46.5,2.0,1.5,0.5,1.5e-05
43.5,43.0,33.0,1.0,0.5,1.0,1e-05
24.0,7.5,17.0,1.0,1.0,2.0,1e-05
20.0,43.5,10.0,1.0,1.0,2.0,1.5e-05
37.0,34.5,43.0,2.0,1.5,1.0,1.5e-05
37.5,6.0,20.0,0.5,1.0,2.0,1e-05
18.0,13.0,16.5,1.5,2.0,1.0,1.5e-05
28.0,22.5,9.5,1.0,1.5,2.0,5e-06
46.0,39.0,6.5,1.0,1.0,1.5,1e-05
46.5,25.5,11.0,2.0,1.0,1.0,1e-05
32.5,23.5,12.0,1.0,0.5,1.0,2e-05
28.5,6.5,49.5,1.0,2.0,1.5,2e-05
25.5,29.5,37.0,1.5,2.0,2.0,5e-06
31.0,17.0,17.5,1.0,2.0,1.5,2e-05
35.0,29.0,44.0,1.0,1.0,1.0,1e-05
32.5,29.5,33.5,1.5,0.5,1.5,5e-06
39.0,45.0,1.0,1.5,0.5,1.5,2e-05
22.5,38.5,48.5,1.5,1.0,1.0,5e-06
34.5,49.5,31.5,1.0,2.0,1.0,1e-05
44.5,7.5,4.0,1.5,0.5,1.0,2e-05
36.5,0.5,14.5,1.0,1.0,1.5,1.5e-05
13.5,25.0,3.0,0.5,2.0,1.5,5e-06
18.0,42.5,20.5,2.0,1.0,0.5,5e-06
9.0,21.0,48.5,1.5,1.0,1.5,1e-05
29.5,9.0,35.5,0.5,0.5,2.0,5e-06
29.0,40.0,7.0,1.5,1.5,1.0,1e-05
39.5,18.0,15.0,1.0,2.0,0.5,1e-05
5.0,24.0,23.0,1.5,1.5,1.0,1e-05
24.5,26.0,12.0,1.0,1.0,1.5,2e-05
32.0,20.5,27.5,2.0,0.5,1.0,1.5e-05
37.0,23.0,8.5,2.0,1.0,0.5,1.5e-05
42.0,45.0,30.0,1.0,1.5,0.5,1.5e-05
48.0,41.5,21.5,2.0,0.5,1.5,1e-05
12.5,14.0,49.0,1.5,1.5,1.0,5e-06
38.0,17.0,18.0,0.5,0.5,1.5,5e-06
45.0,17.0,40.0,0.5,1.5,2.0,1e-05
25.0,34.0,7.0,0.5,0.5,1.5,1.5e-05
12.0,33.5,45.0,1.5,0.5,0.5,5e-06
15.0,39.5,3.0,1.5,1.5,2.0,5e-06
26.5,16.0,1.5,0.5,1.5,2.0,1.5e-05
4.0,17.0,5.5,1.5,1.5,1.0,1e-05
9.5,10.0,11.0,1.0,1.5,1.0,1.5e-05
31.5,27.0,22.5,1.0,1.5,1.5,1.5e-05
48.0,6.0,21.5,1.0,0.5,1.5,1.5e-05
22.0,40.5,29.5,2.0,1.0,1.0,1.5e-05
22.0,45.5,48.5,1.5,2.0,0.5,1.5e-05
42.5,8.5,35.5,1.0,1.0,0.5,5e-06
24.0,4.0,15.5,1.0,1.5,1.5,5e-06
6.5,30.0,2.0,1.0,2.0,1.5,1e-05
43.5,17.5,26.5,1.0,1.5,0.5,5e-06
29.0,15.0,22.0,1.0,1.0,1.5,1e-05
4.5,35.0,33.5,1.5,2.0,1.5,1.5e-05
11.0,18.5,24.0,1.0,2.0,1.5,1.5e-05
42.0,6.5,18.0,1.5,0.5,0.5,5e-06
12.5,29.5,4.5,2.0,1.5,1.0,2e-05
15.0,11.0,29.5,1.5,0.5,1.5,1e-05
35.5,49.5,36.0,1.0,1.0,0.5,2e-05
10.5,33.0,6.0,2.0,1.0,1.5,2e-05
47.0,13.5,12.5,0.5,1.0,2.0,5e-06
42.5,3.0,40.5,1.0,1.0,1.5,1e-05
7.5,8.0,14.5,1.0,1.5,0.5,1.5e-05
17.5,28.5,46.0,1.5,0.5,1.5,1.5e-05
49.0,21.5,37.0,1.5,2.0,1.5,1e-05
46.5,46.0,49.5,1.0,1.0,1.0,1e-05
14.5,45.5,24.5,1.5,1.0,1.5,5e-06
40.5,43.5,48.5,2.0,1.5,1.0,2e-05
7.0,17.5,28.0,1.5,1.0,2.0,1e-05
32.5,30.5,2.0,1.0,1.5,1.0,1e-05
12.0,45.5,41.5,0.5,1.5,1.0,1e-05
37.0,19.5,25.0,0.5,1.0,0.5,2e-05
11.0,31.5,24.5,1.0,1.0,2.0,1e-05
10.0,18.0,34.5,2.0,1.0,1.0,1.5e-05
39.0,20.0,43.5,1.0,1.5,0.5,2e-05
34.0,22.5,26.5,1.5,1.5,1.5,1e-05
17.0,38.0,37.0,1.0,1.0,1.0,1e-05
46.5,36.5,24.0,0.5,1.0,1.0,1e-05
6.5,44.0,8.0,2.0,1.0,1.0,1.5e-05
39.5,20.0,23.5,1.5,2.0,1.0,5e-06
25.0,2.5,30.5,1.5,1.0,1.0,1e-05
12.0,40.5,44.0,1.0,1.0,0.5,1.5e-05
45.0,29.0,13.5,0.5,1.0,1.5,1.5e-05
42.0,19.0,42.5,1.5,2.0,0.5,1e-05
6.5,24.0,24.5,2.0,0.5,1.5,2e-05
32.0,42.0,2.0,1.5,2.0,0.5,2e-05
47.5,36.0,48.0,1.5,0.5,1.0,1e-05
43.5,42.5,4.0,1.0,0.5,1.5,1.5e-05
3.0,28.5,35.5,1.0,0.5,1.5,5e-06
24.0,33.0,27.0,1.0,2.0,1.0,1.5e-05
16.5,48.0,20.5,0.5,2.0,1.5,1e-05
20.0,5.5,31.5,1.0,2.0,2.0,1e-05
41.5,8.5,24.0,0.5,2.0,1.5,1.5e-05
24.0,40.0,28.5,1.0,1.0,1.5,1e-05
0.5,40.5,3.5,0.5,1.5,1.0,1e-05
22.0,21.0,39.0,0.5,1.0,1.5,2e-05
31.5,23.0,36.0,1.0,1.5,1.5,1.5e-05
9.0,1.5,15.0,0.5,1.0,1.0,1.5e-05
14.0,14.0,9.5,2.0,1.0,1.5,1e-05
20.5,45.0,1.0,1.0,1.0,1.0,1.5e-05
35.0,35.5,10.0,1.5,1.0,1.0,5e-06
6.5,48.0,0.5,1.5,1.0,0.5,1e-05
41.0,48.5,31.5,1.5,0.5,1.0,1e-05
18.0,12.5,26.0,2.0,1.5,1.5,1.5e-05
10.5,18.0,23.0,1.5,1.0,2.0,1e-05
10.5,33.0,7.0,2.0,1.0,1.5,1e-05
37.0,17.5,32.5,1.0,1.5,0.5,2e-05
36.0,31.5,13.0,2.0,0.5,1.5,1.5e-05
44.0,41.5,24.0,1.0,0.5,1.5,1.5e-05
4.5,13.5,16.0,1.0,1.0,0.5,1.5e-05
49.0,22.0,23.5,1.5,1.5,2.0,2e-05
24.5,41.0,44.0,1.5,1.0,1.0,2e-05
31.0,13.0,17.0,1.0,0.5,2.0,1.5e-05
19.5,6.5,20.0,2.0,1.0,0.5,1.5e-05
15.5,25.0,24.5,1.0,1.5,2.0,1.5e-05
21.5,4.0,42.0,2.0,1.5,1.5,5e-06
31.0,36.5,48.0,1.5,1.5,1.5,1.5e-05
7.0,34.5,7.5,1.0,2.0,2.0,1.5e-05
24.0,39.0,25.5,0.5,2.0,1.0,1.5e-05
25.0,27.5,8.5,1.0,1.0,1.0,5e-06
32.0,8.0,35.0,1.5,1.5,1.0,1.5e-05
14.0,32.5,38.5,2.0,1.5,1.5,5e-06
31.5,18.5,27.5,1.0,1.5,0.5,1e-05
16.5,28.5,28.0,1.0,1.0,2.0,1.5e-05
12.0,43.0,39.0,1.5,1.0,2.0,1e-05
8.5,15.0,22.0,0.5,1.5,1.5,1.5e-05
20.5,5.5,10.5,1.5,2.0,0.5,2e-05
17.0,48.5,48.5,2.0,1.5,2.0,1e-05
25.0,25.5,41.5,2.0,1.5,0.5,1e-05
10.0,29.0,33.0,1.0,2.0,0.5,1e-05
19.5,47.0,10.0,1.5,1.0,1.0,1e-05
33.5,39.0,24.5,2.0,0.5,1.5,1.5e-05
21.0,17.5,35.0,1.0,1.0,1.0,5e-06
15.0,42.5,42.0,1.5,1.0,1.0,2e-05
2.0,3.5,39.0,1.0,1.5,1.0,1e-05
19.0,18.0,33.0,1.0,1.5,1.0,1.5e-05
29.0,19.0,20.5,1.5,1.0,1.0,5e-06
14.5,17.5,2.5,0.5,1.0,1.5,1.5e-05
4.0,37.5,1.5,2.0,0.5,1.5,1.5e-05
6.5,19.5,46.0,1.5,1.5,1.0,1.5e-05
25.5,8.5,0.5,1.0,1.5,2.0,2e-05
8.0,21.0,22.5,1.0,2.0,1.0,1.5e-05
29.0,44.5,20.0,1.5,1.5,1.5,1.5e-05
2.0,35.0,3.0,1.5,0.5,0.5,1e-05
44.5,38.5,21.0,1.5,1.0,1.0,2e-05
9.5,15.5,25.0,1.0,1.0,2.0,1e-05
40.5,16.5,11.0,1.0,1.5,2.0,5e-06
1.0,31.5,3.5,2.0,1.5,1.5,1e-05
28.5,17.0,27.5,1.0,1.5,1.5,1e-05
24.5,15.0,47.5,1.5,1.0,0.5,2e-05
34.5,36.5,27.5,1.5,1.5,1.5,1e-05
47.5,27.5,41.5,1.5,1.5,1.5,2e-05
42.5,48.5,41.5,1.5,1.5,2.0,1e-05
36.0,44.5,12.0,1.5,0.5,1.5,1.5e-05
6.5,22.5,12.0,0.5,1.5,1.5,1.5e-05
2.5,30.5,20.5,1.5,2.0,2.0,1e-05
46.5,3.0,6.0,1.0,2.0,1.0,1.5e-05
39.0,25.0,2.0,1.0,1.5,1.5,1e-05
17.5,28.0,3.0,1.5,1.0,1.5,1e-05
3.0,49.5,45.0,1.5,1.0,0.5,1e-05
35.5,45.5,37.5,0.5,1.5,1.0,1e-05
22.5,32.5,27.5,1.5,1.5,0.5,1e-05
37.0,14.5,6.0,1.5,0.5,1.5,5e-06
30.0,12.5,10.0,2.0,1.0,0.5,1e-05
34.0,33.5,47.0,0.5,1.0,0.5,1.5e-05
23.0,13.0,22.5,1.0,1.5,1.5,1e-05
26.0,48.5,41.5,1.5,1.0,1.0,1.5e-05
36.0,5.0,23.0,1.0,1.5,0.5,1.5e-05
9.0,5.0,2.0,1.0,1.5,2.0,2e-05
20.5,9.5,21.0,1.0,1.5,1.0,5e-06
33.0,11.0,18.0,0.5,1.5,1.0,2e-05
14.0,8.0,46.0,0.5,1.0,1.0,1.5e-05
21.0,21.5,19.5,1.5,0.5,0.5,2e-05
46.0,39.0,45.0,2.0,1.5,0.5,5e-06
7.5,28.5,5.5,1.0,2.0,1.0,1.5e-05
49.0,48.5,47.0,1.5,1.5,1.5,1.5e-05
43.5,28.5,1.5,1.0,1.0,1.5,2e-05
34.5,27.0,12.5,1.5,1.5,1.0,1e-05
2.0,20.0,26.5,1.0,0.5,1.0,1.5e-05
34.0,8.5,40.0,1.5,1.0,1.5,5e-06
39.5,4.5,30.0,2.0,1.5,1.5,1e-05
8.5,7.0,35.0,2.0,1.0,0.5,1.5e-05
43.0,32.0,49.5,1.5,1.5,0.5,1e-05
43.5,15.5,12.5,1.5,1.5,1.5,1e-05
20.5,12.5,47.5,0.5,0.5,1.0,1.5e-05
45.5,1.5,4.0,0.5,1.5,1.0,1e-05
23.5,45.0,29.0,1.0,2.0,2.0,1.5e-05
8.0,20.5,35.0,2.0,2.0,1.5,1e-05
23.0,7.5,39.5,2.0,0.5,1.0,1e-05
11.5,35.5,11.5,2.0,1.0,1.0,1.5e-05
3.0,34.5,46.0,1.5,0.5,1.0,2e-05
13.0,23.0,27.5,0.5,1.5,1.0,2e-05
19.0,37.5,1.0,1.5,0.5,2.0,2e-05
44.5,46.5,21.5,1.5,1.0,1.5,1.5e-05
12.0,26.0,33.5,2.0,2.0,0.5,1.5e-05
9.0,23.0,30.0,1.0,1.5,1.0,1.5e-05
27.5,25.5,22.0,1.0,0.5,1.5,1.5e-05
44.5,13.5,8.0,1.0,1.5,1.0,2e-05
19.0,24.0,49.5,1.0,1.5,0.5,2e-05
42.0,16.0,3.0,0.5,1.0,1.5,1.5e-05
30.5,7.0,36.5,2.0,1.5,0.5,1.5e-05
16.0,42.5,39.0,1.0,2.0,1.0,5e-06
31.0,32.0,16.5,0.5,1.5,1.5,1.5e-05
16.0,6.0,40.0,1.5,1.0,2.0,1.5e-05
28.0,25.0,5.5,1.5,1.0,0.5,1e-05
12.5,41.5,13.0,1.5,1.0,1.5,1.5e-05
5.0,26.0,38.5,0.5,0.5,1.0,1e-05
18.0,18.5,44.5,1.0,2.0,1.0,1.5e-05
21.5,14.5,35.5,1.0,1.0,1.0,1e-05
45.0,8.5,47.0,0.5,2.0,1.5,1.5e-05
38.5,23.0,48.0,1.0,1.5,1.0,1e-05
33.0,13.5,45.5,2.0,0.5,2.0,1.5e-05
13.5,33.5,49.0,0.5,1.0,0.5,5e-06
28.5,26.0,10.0,2.0,1.0,1.0,1.5e-05
47.5,36.0,32.5,1.0,1.5,1.5,1.5e-05
47.5,20.0,44.5,0.5,1.0,0.5,1e-05
11.0,48.0,4.5,0.5,1.0,1.0,1.5e-05
37.0,9.5,34.0,1.5,1.5,2.0,1.5e-05
41.0,46.0,5.0,1.5,2.0,1.5,1e-05
38.5,10.0,28.0,1.0,0.5,1.5,2e-05
1.5,31.0,48.0,1.0,1.0,1.5,2e-05
7.0,34.0,4.0,1.5,1.0,2.0,5e-06
30.5,20.0,16.5,1.5,1.0,0.5,1.5e-05
21.0,41.5,31.0,1.5,1.0,1.5,1e-05
43.0,8.0,12.5,1.5,1.5,1.0,1e-05
12.5,18.0,17.0,0.5,2.0,2.0,1.5e-05
34.0,42.0,39.0,1.5,1.5,0.5,1e-05
33.0,30.0,30.0,0.5,2.0,0.5,5e-06
3.5,40.5,27.0,1.5,1.5,1.0,1e-05
35.0,1.5,34.0,2.0,1.5,1.5,1e-05
16.5,44.5,10.0,1.0,2.0,1.0,1.5e-05
28.5,12.0,50.0,0.5,1.5,1.5,1.5e-05
1.0,34.5,13.0,1.5,1.5,0.5,5e-06
40.5,8.0,22.5,1.0,2.0,0.5,2e-05
13.5,44.5,45.5,1.5,2.0,1.0,2e-05
3.0,36.0,46.5,1.0,1.5,1.0,5e-06
1.5,17.5,19.5,1.0,1.5,2.0,1e-05
45.5,5.0,40.0,1.0,2.0,1.5,2e-05
36.0,11.5,16.0,1.5,2.0,1.5,1.5e-05
36.0,41.0,47.5,1.5,1.5,1.5,5e-06
39.5,43.0,19.5,1.0,1.0,1.5,2e-05
36.5,35.0,44.0,2.0,2.0,1.0,1e-05
27.0,38.0,48.0,1.0,1.5,2.0,1.5e-05
35.0,46.5,44.5,1.5,1.5,1.0,2e-05
22.5,40.5,6.5,0.5,1.5,1.5,2e-05
16.0,3.5,38.5,1.0,1.0,1.0,1.5e-05
22.5,15.5,16.5,1.0,1.0,1.0,1.5e-05
5.5,7.5,39.5,2.0,1.0,1.0,5e-06
29.0,41.5,32.5,0.5,2.0,2.0,2e-05
33.5,5.5,23.5,1.5,1.0,1.0,5e-06
12.5,18.5,10.5,1.0,1.0,0.5,1e-05
46.5,2.0,43.5,1.5,1.5,1.0,1e-05
21.0,16.5,45.5,1.0,2.0,0.5,1e-05
45.5,26.0,6.5,0.5,1.0,0.5,1e-05
48.0,6.5,6.0,1.0,1.0,1.5,1.5e-05
8.0,1.0,27.0,1.0,1.0,1.5,1e-05
44.0,39.5,41.0,1.0,1.5,1.5,2e-05
6.0,3.5,47.5,2.0,0.5,2.0,1.5e-05
17.0,12.0,18.0,1.0,1.0,0.5,1e-05
24.0,15.0,28.0,1.0,1.5,1.5,1.5e-05
2.0,30.0,39.5,1.5,1.0,0.5,1e-05
8.0,27.0,15.5,2.0,1.0,1.0,1e-05
42.5,33.0,48.0,2.0,1.5,2.0,2e-05
27.0,27.5,34.0,1.0,1.5,2.0,2e-05
41.5,0.5,3.5,1.5,2.0,1.0,1.5e-05
17.0,20.0,11.0,0.5,1.0,0.5,1e-05
34.0,24.5,29.0,1.0,1.5,0.5,5e-06
32.5,39.0,12.5,1.5,0.5,1.5,1e-05
35.5,22.5,24.5,1.0,1.5,1.0,1.5e-05
13.5,30.0,25.0,0.5,0.5,2.0,1e-05
10.0,39.0,49.5,1.0,1.0,1.0,2e-05
4.0,15.5,38.5,2.0,2.0,1.5,1.5e-05
34.0,22.0,43.0,0.5,2.0,1.0,1e-05
23.5,5.5,28.0,1.5,1.0,2.0,1.5e-05
15.5,8.5,17.5,2.0,1.5,1.5,1.5e-05
3.0,13.0,25.0,0.5,1.0,2.0,1e-05
11.5,39.0,11.5,1.5,1.5,1.5,2e-05
33.5,33.0,37.5,1.0,1.0,1.0,1e-05
16.5,6.0,17.0,2.0,1.0,1.0,1.5e-05
29.5,28.5,42.5,2.0,1.0,1.0,5e-06
32.5,49.5,17.5,0.5,0.5,1.0,1.5e-05
6.0,44.0,11.5,2.0,1.5,1.5,5e-06
40.5,14.5,14.5,1.5,2.0,1.5,1e-05
27.5,42.5,22.0,0.5,1.5,1.5,1e-05
43.5,14.5,47.0,2.0,1.5,1.5,2e-05
12.5,35.0,9.5,1.0,2.0,2.0,1e-05
22.5,12.5,12.5,1.0,1.0,2.0,5e-06
27.5,46.5,30.5,1.5,1.5,1.5,1e-05
47.0,21.5,47.0,1.0,2.0,0.5,1.5e-05
27.5,21.0,49.0,1.5,1.0,1.5,1e-05
25.0,41.5,44.0,1.0,2.0,1.0,5e-06
19.5,4.5,44.5,1.0,1.0,1.0,5e-06
35.0,10.5,21.0,1.0,1.5,1.5,5e-06
1.0,17.0,9.0,1.5,1.0,1.5,1.5e-05
28.5,6.0,42.0,1.5,1.5,1.5,1e-05
48.0,42.0,25.5,1.0,2.0,1.0,1.5e-05
29.5,9.0,5.0,1.0,1.0,1.0,1.5e-05
18.5,32.5,23.0,1.5,1.0,1.5,1e-05
23.0,6.0,21.5,0.5,1.5,2.0,2e-05
17.5,47.5,23.0,1.5,1.5,2.0,1e-05
46.0,27.5,2.0,0.5,0.5,1.5,5e-06
13.5,31.5,40.0,1.5,1.0,0.5,5e-06
8.5,38.5,6.0,1.5,1.0,1.5,1.5e-05
38.0,16.5,45.0,0.5,1.5,1.0,5e-06
5.0,17.0,37.0,1.5,1.0,1.5,1e-05
9.5,1.5,9.5,0.5,1.5,2.0,1.5e-05
46.5,2.0,28.5,1.5,1.5,1.0,1e-05
31.0,18.0,7.0,1.0,1.0,2.0,1.5e-05
13.0,44.0,20.0,1.0,1.5,1.5,5e-06
