w1,w2,w3,w4,w5,l1,l2,l3,l4,l5,cc,cr,ibias
41.5,48.0,36.5,43.0,21.5,2.0,2.0,0.5,0.5,2.0,1.6e-12,24000.0,1e-05
12.0,19.5,1.5,48.5,32.5,1.0,1.5,1.0,0.5,2.0,1.9e-12,52500.0,2e-05
34.0,38.5,18.0,30.5,25.0,2.0,1.0,0.5,0.5,0.5,1.3e-12,19500.0,2e-05
10.5,4.5,3.0,39.0,16.0,0.5,1.0,2.0,0.5,0.5,1.3e-12,98500.0,2e-05
45.0,3.0,9.5,15.0,9.5,2.0,2.0,1.0,1.0,2.0,1.1e-12,34500.0,1e-05
28.0,17.0,34.0,38.0,40.0,1.5,0.5,1.0,0.5,1.5,9e-13,33000.0,1e-05
29.5,1.5,9.5,17.5,47.0,1.0,1.0,1.0,1.0,1.0,1.3e-12,99500.0,2e-05
35.0,43.5,7.0,21.5,24.5,0.5,1.5,1.0,0.5,0.5,1.1e-12,64000.0,2e-05
45.5,38.5,25.5,40.0,25.0,0.5,1.0,1.5,0.5,0.5,1.3e-12,58500.0,2e-05
36.0,38.5,37.0,30.5,25.5,0.5,2.0,0.5,1.0,1.0,1.3e-12,32000.0,1e-05
34.0,38.5,15.0,36.5,19.0,1.5,1.5,1.5,0.5,2.0,7e-13,19000.0,1e-05
15.5,15.0,2.0,39.0,25.0,1.5,1.0,2.0,0.5,0.5,1.3e-12,98500.0,2e-05
21.5,12.0,13.5,39.0,25.5,1.0,1.5,1.5,1.0,0.5,1e-12,24000.0,1e-05
10.5,37.0,9.5,21.5,40.0,1.0,2.0,2.0,0.5,1.0,2e-13,88500.0,1e-05
2.0,41.0,15.0,2.5,22.5,1.5,1.5,1.0,2.0,1.0,4e-13,80000.0,2e-05
46.0,38.5,17.0,39.0,25.0,2.0,1.5,1.5,1.0,0.5,3e-13,58000.0,2e-05
12.0,5.5,18.5,13.5,17.0,1.5,1.5,2.0,1.5,1.5,1.1e-12,69000.0,1e-05
31.0,49.5,8.5,38.5,44.0,1.5,1.5,1.5,1.0,0.5,1.6e-12,81000.0,2e-05
34.0,2.0,27.0,37.0,19.0,1.5,1.5,1.5,0.5,0.5,1.3e-12,19000.0,2e-05
49.5,1.0,19.0,4.0,32.5,2.0,1.0,1.0,1.5,2.0,1e-12,29000.0,2e-05
11.5,23.5,31.0,29.5,26.5,1.0,1.0,1.5,0.5,1.0,1.9e-12,27500.0,2e-05
20.5,31.5,13.5,47.5,32.5,1.0,1.5,1.0,1.0,1.0,1.8e-12,33000.0,1e-05
45.5,26.0,25.5,40.0,25.0,1.5,1.0,0.5,1.0,1.0,3e-13,58000.0,1e-05
21.5,20.0,7.0,30.5,42.0,1.0,1.5,1.0,0.5,1.0,1.6e-12,99000.0,2e-05
30.0,26.0,10.0,42.0,42.0,2.0,1.0,2.0,0.5,1.0,1.6e-12,100000.0,2e-05
36.0,38.5,28.5,39.0,25.0,1.5,1.0,1.5,0.5,0.5,9e-13,32000.0,1e-05
39.5,38.5,28.5,39.0,25.5,0.5,1.5,1.5,1.0,0.5,1.2e-12,31500.0,2e-05
15.5,15.0,7.5,21.5,24.5,1.5,1.5,0.5,0.5,1.0,1.1e-12,69000.0,2e-05
49.0,1.0,19.0,7.5,17.5,0.5,0.5,1.0,1.0,1.0,3e-13,28000.0,2e-05
15.0,19.0,47.5,45.5,10.5,0.5,0.5,2.0,0.5,1.5,1.4e-12,88000.0,2e-05
10.5,12.0,48.5,37.0,19.0,0.5,0.5,1.5,0.5,2.0,7e-13,68500.0,1e-05
12.0,25.5,3.0,39.0,25.0,2.0,1.5,2.0,0.5,0.5,1.9e-12,52500.0,2e-05
36.0,5.5,18.5,13.5,13.0,2.0,1.0,2.0,1.5,0.5,1e-12,57000.0,1e-05
15.5,15.5,1.5,48.5,33.0,1.5,1.0,2.0,0.5,1.0,1.3e-12,98500.0,2e-05
48.0,38.5,28.5,39.0,25.0,1.5,1.0,0.5,0.5,1.5,1.9e-12,33000.0,1e-05
10.5,2.0,8.0,25.5,25.0,1.5,1.5,1.0,1.0,1.0,1.7e-12,69000.0,2e-05
15.0,20.5,7.0,39.0,42.5,1.0,1.5,1.0,0.5,2.0,1.8e-12,25000.0,2e-05
12.0,25.5,3.0,39.0,32.5,2.0,1.5,1.0,0.5,0.5,1.9e-12,52500.0,2e-05
15.0,15.0,18.5,39.0,24.5,1.5,1.0,2.0,0.5,2.0,1.3e-12,98000.0,2e-05
13.0,23.5,31.0,29.5,26.5,1.0,1.0,1.5,0.5,1.0,1.3e-12,19500.0,2e-05
45.5,38.5,25.5,40.0,17.5,1.5,1.5,0.5,0.5,0.5,1.3e-12,63000.0,2e-05
45.0,3.0,9.5,15.0,9.5,1.5,0.5,1.0,1.0,1.0,1.1e-12,89000.0,1e-05
37.0,38.5,28.5,39.0,32.5,1.5,1.5,2.0,0.5,0.5,1.2e-12,32000.0,2e-05
48.0,5.5,7.0,13.5,13.0,2.0,1.0,2.0,0.5,2.0,1.9e-12,32500.0,1e-05
15.5,38.5,3.0,17.5,44.0,1.5,1.0,2.0,0.5,2.0,1.8e-12,97500.0,1e-05
22.0,12.0,13.5,39.0,25.5,1.0,1.5,1.5,1.0,0.5,1e-12,24000.0,2e-05
46.0,19.5,3.5,42.5,42.0,1.0,1.5,1.5,0.5,0.5,1.8e-12,25000.0,2e-05
12.0,5.5,3.5,13.5,17.0,2.0,1.5,2.0,1.5,1.5,1.1e-12,69000.0,1e-05
36.0,43.5,28.5,39.0,24.5,1.5,1.0,1.0,0.5,0.5,1.9e-12,65500.0,2e-05
36.0,38.5,28.5,39.0,25.0,1.5,1.0,0.5,0.5,0.5,1e-12,33000.0,1e-05
36.0,37.5,28.5,39.0,25.0,1.5,1.0,0.5,0.5,0.5,1.3e-12,32000.0,2e-05
15.5,15.0,3.0,17.5,44.0,1.5,1.0,2.0,2.0,2.0,1.8e-12,97500.0,1e-05
18.5,7.0,26.0,14.5,24.5,0.5,1.0,1.5,1.0,0.5,1.8e-12,46500.0,1e-05
12.0,26.0,1.5,48.5,30.5,1.0,1.5,2.0,0.5,1.0,1e-12,53000.0,2e-05
48.0,5.5,2.5,13.5,13.0,2.0,1.0,2.0,1.5,1.5,1.1e-12,98500.0,2e-05
47.0,15.0,15.0,36.5,19.0,1.5,1.5,1.5,0.5,2.0,7e-13,17500.0,1e-05
11.5,26.0,25.5,40.0,25.0,1.5,1.0,1.5,1.0,1.0,8e-13,58000.0,1e-05
36.0,39.0,28.5,37.5,17.0,1.5,1.0,0.5,0.5,0.5,1.9e-12,32000.0,1e-05
47.0,15.0,3.0,42.5,24.5,1.5,1.0,2.0,0.5,0.5,1.3e-12,98500.0,2e-05
12.0,19.5,1.5,48.5,25.0,1.0,1.5,2.0,0.5,2.0,1.9e-12,52500.0,2e-05
32.5,38.5,18.0,27.0,25.0,2.0,1.0,0.5,0.5,0.5,1.9e-12,27500.0,2e-05
10.5,3.0,9.5,21.5,40.0,0.5,0.5,1.5,0.5,1.0,1.1e-12,35000.0,1e-05
29.0,7.5,19.0,14.0,13.0,2.0,1.0,2.0,1.5,1.5,1.1e-12,58000.0,1e-05
34.0,26.0,25.5,38.5,33.0,1.5,1.5,2.0,0.5,1.0,1.3e-12,19000.0,1e-05
49.0,3.0,20.5,33.5,47.0,1.5,1.0,0.5,1.5,1.5,1.1e-12,58000.0,1e-05
33.0,15.0,15.0,36.5,19.0,1.5,1.5,1.5,0.5,2.0,7e-13,19000.0,1e-05
46.0,1.0,19.0,4.0,17.5,2.0,2.0,1.5,1.5,2.0,3e-13,29000.0,1e-05
34.0,39.5,18.0,39.0,25.0,2.0,1.5,1.0,0.5,2.0,1.2e-12,19000.0,2e-05
13.0,25.5,18.0,39.0,25.0,1.5,1.5,2.0,0.5,0.5,1.9e-12,52500.0,2e-05
35.0,38.5,7.0,21.5,25.0,0.5,1.5,0.5,0.5,0.5,1.1e-12,30500.0,1e-05
48.0,38.5,28.5,39.0,25.0,1.5,1.0,0.5,0.5,1.5,1.9e-12,32000.0,1e-05
29.5,12.0,48.5,17.5,47.0,1.0,1.0,1.5,1.0,2.0,8e-13,99500.0,2e-05
10.5,36.5,14.5,2.0,32.5,1.0,2.0,2.0,0.5,1.0,1e-13,96500.0,2e-05
45.0,3.0,9.5,32.5,9.5,0.5,0.5,1.0,1.5,1.0,1.1e-12,35500.0,1e-05
20.5,31.5,27.0,47.5,32.5,2.0,0.5,1.0,1.0,1.0,1.9e-12,32500.0,2e-05
15.5,15.5,18.5,39.0,25.0,1.5,1.0,2.0,0.5,0.5,1.3e-12,58000.0,1e-05
15.5,38.5,3.0,39.0,25.0,1.5,1.0,2.0,0.5,0.5,1e-12,99000.0,1e-05
45.5,10.0,10.0,16.0,26.5,1.0,1.0,0.5,0.5,1.0,3e-13,46000.0,2e-05
29.0,5.5,19.0,14.0,13.0,2.0,1.0,2.0,1.5,1.5,1.1e-12,59000.0,1e-05
36.0,15.0,28.5,39.0,25.0,1.5,1.0,0.5,0.5,2.0,1.9e-12,32000.0,1e-05
33.0,10.0,10.0,39.0,25.0,1.0,1.0,1.5,0.5,0.5,8e-13,45500.0,2e-05
10.5,5.5,3.0,39.0,16.0,0.5,1.0,2.0,0.5,0.5,1.3e-12,97500.0,2e-05
15.5,38.5,3.0,17.0,44.0,1.5,1.0,2.0,0.5,0.5,1e-12,97500.0,1e-05
34.0,38.5,25.5,39.0,29.0,1.5,1.5,0.5,0.5,0.5,1.3e-12,19000.0,2e-05
15.5,5.0,7.5,38.0,38.5,2.0,0.5,1.0,0.5,1.5,9e-13,89000.0,1e-05
12.0,19.5,7.0,48.5,32.0,1.0,1.5,1.0,0.5,2.0,1.9e-12,25500.0,2e-05
23.0,25.5,13.5,46.5,32.5,1.0,1.5,2.0,1.0,1.0,1.8e-12,33000.0,1e-05
34.0,9.5,17.5,29.5,25.0,1.0,1.0,0.5,0.5,0.5,8e-13,21000.0,2e-05
15.0,20.5,7.0,39.0,17.0,1.0,1.5,1.0,0.5,2.0,1.8e-12,25000.0,2e-05
20.5,31.5,27.0,27.0,32.5,2.0,1.0,1.0,1.0,2.0,1e-12,27500.0,2e-05
48.0,38.5,28.5,39.0,17.0,1.5,1.0,0.5,0.5,1.5,1.9e-12,33000.0,1e-05
46.0,25.5,19.0,4.0,32.5,2.0,2.0,1.5,1.5,2.0,3e-13,52500.0,2e-05
13.0,2.0,8.0,26.5,17.0,1.5,1.5,1.0,1.0,1.0,1.3e-12,69000.0,2e-05
36.0,23.5,28.5,39.0,33.0,1.5,1.5,1.5,0.5,0.5,1.3e-12,27500.0,2e-05
15.5,15.0,3.0,39.0,25.0,1.5,1.5,0.5,0.5,0.5,1.3e-12,98500.0,2e-05
11.5,38.5,18.0,16.0,25.0,2.0,1.0,1.5,0.5,0.5,8e-13,19000.0,2e-05
39.0,34.0,30.5,25.5,12.0,1.5,1.0,1.5,0.5,2.0,1.6e-12,20000.0,1e-05
49.5,5.5,9.5,21.5,40.0,2.0,1.0,1.5,0.5,1.0,1.9e-12,35000.0,1e-05
15.0,23.5,7.0,39.0,43.0,1.0,1.0,1.0,0.5,2.0,1.8e-12,27500.0,2e-05
46.0,20.5,7.0,14.0,42.0,1.0,1.5,1.0,0.5,2.0,1.8e-12,25000.0,2e-05
36.0,38.5,28.5,39.5,25.0,1.0,1.0,2.0,1.5,0.5,1.3e-12,59500.0,1e-05
33.0,12.0,47.5,17.5,25.5,1.0,1.0,1.5,1.0,0.5,8e-13,99500.0,2e-05
20.5,38.5,16.0,47.5,33.0,1.5,1.5,1.5,0.5,2.0,1e-12,33000.0,1e-05
34.0,38.5,28.5,39.0,25.0,1.5,1.5,0.5,0.5,0.5,1.3e-12,19000.0,2e-05
32.5,38.5,18.0,27.0,25.0,2.0,1.0,0.5,0.5,0.5,1.7e-12,27500.0,1e-05
36.0,38.5,28.5,39.0,33.0,1.5,1.5,2.0,1.0,1.0,1.3e-12,32500.0,2e-05
45.5,38.5,27.0,40.0,25.0,1.5,1.5,1.5,0.5,0.5,1.3e-12,66000.0,2e-05
48.0,17.5,33.5,13.5,14.5,1.5,1.0,2.0,0.5,2.0,1.9e-12,26500.0,1e-05
46.0,20.5,1.5,42.5,42.5,1.0,1.5,1.0,0.5,2.0,1.8e-12,52000.0,2e-05
24.5,31.5,18.0,39.0,25.0,1.5,1.5,1.0,0.5,0.5,1.9e-12,52500.0,2e-05
11.5,38.5,10.5,17.0,26.5,2.0,1.0,1.5,0.5,1.0,1.3e-12,44500.0,2e-05
21.5,13.5,17.5,39.0,25.5,1.0,1.5,1.5,1.0,0.5,1e-12,24000.0,1e-05
12.0,5.5,3.5,12.5,42.0,2.0,1.5,2.0,1.5,1.5,1.1e-12,69000.0,1e-05
32.5,38.5,18.0,47.5,25.0,2.0,1.0,0.5,0.5,0.5,1.9e-12,33000.0,2e-05
36.0,39.0,28.5,37.5,25.0,1.5,1.0,0.5,0.5,0.5,1.9e-12,32000.0,1e-05
12.0,1.5,3.0,39.0,17.5,2.0,1.5,1.0,0.5,0.5,1.9e-12,29000.0,2e-05
10.5,24.0,31.0,29.5,26.5,1.0,1.0,1.5,0.5,1.0,1.7e-12,19500.0,2e-05
11.5,38.5,31.0,29.5,26.5,1.0,1.0,2.0,0.5,1.0,1.9e-12,32000.0,2e-05
45.5,38.5,25.5,40.0,25.0,1.5,1.0,2.0,0.5,0.5,1.3e-12,66000.0,2e-05
34.0,10.0,10.0,39.0,26.5,1.0,1.5,1.5,0.5,1.0,1.2e-12,46000.0,2e-05
13.5,23.5,2.0,27.5,27.5,1.0,1.0,1.5,0.5,1.0,1.3e-12,34000.0,2e-05
8.5,3.0,7.0,13.5,13.0,0.5,0.5,2.0,0.5,2.0,1.1e-12,32500.0,1e-05
18.5,7.0,26.0,32.0,25.0,0.5,1.0,1.5,1.5,0.5,1.8e-12,45500.0,1e-05
11.5,20.5,31.0,29.5,26.0,1.0,1.5,1.5,0.5,1.0,1.9e-12,25000.0,2e-05
29.0,5.5,19.0,42.5,13.0,2.0,1.0,2.0,1.5,1.5,1.1e-12,59000.0,1e-05
48.0,5.5,18.5,13.0,13.0,2.0,1.0,0.5,0.5,1.5,1.1e-12,30500.0,2e-05
29.5,38.5,18.5,30.5,46.5,2.0,1.0,0.5,0.5,2.0,1.3e-12,19500.0,2e-05
34.0,31.5,25.0,36.5,18.5,2.0,1.0,1.0,1.0,2.0,1e-12,19000.0,2e-05
36.0,39.0,27.0,37.5,17.0,1.5,1.0,1.5,0.5,0.5,1.9e-12,32000.0,1e-05
36.0,37.0,28.5,39.0,24.5,1.5,1.0,1.5,0.5,0.5,9e-13,32000.0,2e-05
10.5,2.5,8.0,26.5,17.0,1.5,1.5,1.0,0.5,0.5,1.7e-12,68500.0,2e-05
15.5,26.0,3.0,17.5,45.5,1.5,1.0,1.0,0.5,0.5,1.8e-12,97500.0,2e-05
36.0,26.0,28.5,46.5,17.0,1.0,1.0,2.0,0.5,1.0,1.8e-12,32000.0,1e-05
48.0,5.5,7.0,39.0,26.0,1.0,1.0,1.5,0.5,2.0,1.9e-12,8000.0,1e-05
15.0,17.0,7.0,38.0,43.0,1.0,1.0,1.0,0.5,1.5,1.8e-12,89000.0,1e-05
36.0,23.5,31.0,39.0,26.5,1.0,1.0,1.5,0.5,1.0,1.3e-12,27500.0,2e-05
48.5,5.0,28.5,38.0,25.0,1.5,1.0,0.5,0.5,1.5,1.9e-12,59000.0,1e-05
16.0,37.5,3.0,39.0,44.5,1.5,1.0,0.5,0.5,0.5,1.8e-12,32000.0,2e-05
12.0,31.5,1.5,48.5,32.5,1.0,1.5,1.0,0.5,2.0,1.9e-12,52500.0,2e-05
11.5,38.5,10.0,17.0,25.0,2.0,1.0,0.5,0.5,0.5,1.3e-12,44500.0,2e-05
34.0,39.0,28.5,37.5,25.0,1.5,1.0,0.5,0.5,0.5,1.1e-12,32000.0,1e-05
34.0,41.5,17.5,29.5,25.0,1.0,1.5,0.5,0.5,0.5,8e-13,19000.0,2e-05
15.5,5.0,7.5,38.0,38.5,2.0,0.5,1.0,0.5,1.5,1e-12,89000.0,1e-05
33.5,39.0,2.5,37.5,25.0,1.5,1.0,0.5,0.5,0.5,1.9e-12,32000.0,1e-05
34.5,20.5,7.0,39.0,42.5,1.0,1.5,1.0,0.5,2.0,1.8e-12,39000.0,2e-05
36.5,37.0,28.5,39.0,24.5,1.0,1.0,1.0,0.5,0.5,9e-13,32000.0,2e-05
36.5,7.0,26.0,42.0,25.0,1.5,1.0,1.5,1.5,0.5,1.3e-12,32000.0,2e-05
36.0,38.5,28.5,39.0,25.0,1.5,1.5,1.5,1.0,0.5,9e-13,32000.0,1e-05
15.5,15.0,10.0,29.0,26.5,1.0,1.0,1.5,0.5,0.5,8e-13,98500.0,2e-05
23.0,14.5,13.5,39.0,25.5,1.0,1.5,2.0,1.0,1.0,1.3e-12,33000.0,1e-05
15.0,23.5,7.0,13.0,41.5,2.0,1.0,1.0,0.5,1.5,1.1e-12,27500.0,1e-05
36.5,25.5,28.5,39.0,17.0,1.5,1.5,2.0,0.5,0.5,1.9e-12,52500.0,2e-05
49.5,38.5,9.5,39.0,40.0,2.0,1.5,2.0,0.5,0.5,1.3e-12,32000.0,2e-05
34.0,39.0,17.5,29.5,25.0,1.0,1.0,0.5,0.5,0.5,1.9e-12,21000.0,2e-05
23.0,38.5,13.5,38.0,32.5,1.5,1.5,0.5,1.0,0.5,1.9e-12,33000.0,1e-05
21.5,13.5,17.5,13.5,12.5,2.0,1.5,2.0,1.0,0.5,1e-12,24000.0,1e-05
15.5,23.5,34.0,39.0,40.0,1.5,0.5,1.0,0.5,2.0,9e-13,27000.0,2e-05
15.0,38.5,28.0,29.5,25.0,1.5,1.0,1.5,0.5,0.5,9e-13,32000.0,1e-05
28.0,39.0,19.0,15.0,13.0,2.0,1.0,2.0,1.5,1.5,1.1e-12,32000.0,1e-05
35.5,15.0,28.5,17.5,24.5,1.5,1.0,2.0,0.5,2.0,1.3e-12,97500.0,1e-05
15.0,19.5,7.0,39.0,42.5,1.0,1.5,1.0,0.5,2.0,1.8e-12,25000.0,2e-05
36.0,38.5,29.0,39.0,26.5,1.5,1.0,1.5,0.5,1.0,1.3e-12,32000.0,2e-05
36.0,39.5,18.0,39.0,25.0,2.0,1.5,1.0,0.5,2.0,1.9e-12,19000.0,2e-05
34.0,9.0,30.0,39.0,25.0,1.5,1.0,1.5,0.5,0.5,1.3e-12,21000.0,2e-05
16.0,15.0,29.0,17.5,44.0,1.5,1.0,2.0,0.5,2.0,1.8e-12,97500.0,1e-05
14.5,37.5,24.0,39.0,30.5,1.5,1.5,0.5,0.5,0.5,1.3e-12,19000.0,2e-05
45.5,20.5,7.0,14.0,42.0,1.5,1.5,1.5,0.5,2.0,1.8e-12,25000.0,2e-05
18.0,38.5,28.5,32.0,25.0,0.5,1.0,0.5,0.5,0.5,1.8e-12,45500.0,1e-05
21.5,12.0,10.5,34.0,25.5,1.0,1.0,1.5,0.5,0.5,1e-12,24000.0,1e-05
11.5,10.0,3.0,16.0,25.0,1.5,1.5,0.5,0.5,1.0,1.3e-12,46000.0,2e-05
15.5,26.0,2.0,46.5,25.0,1.5,1.0,2.0,0.5,0.5,1.8e-12,98500.0,2e-05
47.5,8.0,18.5,39.5,13.0,1.0,1.0,2.0,1.5,2.0,1.8e-12,58000.0,2e-05
12.5,39.0,18.0,37.5,26.0,1.5,1.0,0.5,0.5,0.5,2e-12,32000.0,1e-05
36.0,5.5,28.5,21.5,33.0,1.5,1.0,1.5,0.5,1.0,1.9e-12,35000.0,1e-05
38.5,9.0,18.0,27.0,27.5,2.0,1.0,0.5,0.5,0.5,8e-13,27500.0,2e-05
34.5,38.5,7.5,26.5,29.5,1.5,1.5,0.5,0.5,0.5,1.3e-12,19000.0,2e-05
35.5,20.5,7.0,47.0,33.0,1.5,1.5,2.0,0.5,0.5,1.3e-12,32000.0,2e-05
21.5,12.0,13.5,39.0,25.5,1.0,1.5,1.5,1.0,0.5,1e-12,27500.0,2e-05
15.5,17.0,28.5,38.0,25.0,1.5,0.5,1.0,0.5,1.5,9e-13,89000.0,1e-05
10.0,2.5,26.0,39.0,16.5,1.5,1.5,1.0,0.5,0.5,1.7e-12,68500.0,2e-05
15.5,38.5,28.5,39.0,42.5,1.0,1.5,1.0,0.5,2.0,1.8e-12,25000.0,2e-05
15.0,25.0,7.0,39.0,43.0,1.0,1.0,1.0,0.5,2.0,1.8e-12,24000.0,1e-05
16.5,15.0,3.0,39.0,25.0,1.5,1.5,0.5,0.5,0.5,1.3e-12,95000.0,1e-05
34.0,9.5,17.5,29.5,25.0,1.0,1.0,1.5,0.5,0.5,8e-13,21000.0,2e-05
35.0,38.5,7.0,39.0,25.0,1.5,1.5,1.5,0.5,0.5,1.3e-12,24000.0,2e-05
48.0,37.5,28.5,39.0,25.0,1.5,1.0,0.5,0.5,1.5,1.9e-12,32000.0,2e-05
35.5,20.5,7.0,39.0,33.0,1.5,1.5,2.0,0.5,0.5,1.3e-12,32000.0,2e-05
12.0,19.5,1.5,48.5,32.5,1.0,1.5,1.0,0.5,2.0,1.9e-12,27000.0,2e-05
33.5,38.5,31.0,29.5,26.5,1.5,1.0,1.5,0.5,1.0,1.2e-12,19000.0,2e-05
15.0,23.5,7.5,39.0,43.0,1.0,1.0,1.0,0.5,2.0,1.8e-12,27500.0,2e-05
36.0,12.0,30.0,21.5,33.0,1.5,1.0,1.5,0.5,0.5,1.9e-12,35000.0,1e-05
30.0,23.5,19.0,14.0,13.0,1.0,1.0,1.5,0.5,1.5,1.9e-12,27500.0,2e-05
20.5,31.5,27.0,47.5,31.5,1.0,1.0,1.0,1.0,2.0,1.8e-12,25000.0,2e-05
10.5,24.0,25.5,29.5,26.5,1.5,1.0,1.5,0.5,1.0,1.7e-12,32000.0,2e-05
36.0,38.5,15.0,36.5,19.0,1.5,1.5,1.5,0.5,2.0,7e-13,19000.0,1e-05
20.5,31.5,28.5,47.5,24.5,1.5,1.5,1.0,0.5,1.0,9e-13,32000.0,1e-05
36.5,39.0,28.5,37.5,25.0,1.5,1.0,1.5,0.5,0.5,1.9e-12,32000.0,1e-05
34.0,6.0,17.5,14.0,13.0,2.0,1.0,2.0,1.5,0.5,1.1e-12,59000.0,2e-05
11.5,10.0,10.0,16.0,26.5,1.0,1.0,1.5,0.5,1.0,8e-13,48500.0,2e-05
12.5,38.5,28.5,39.0,25.0,1.5,1.0,2.0,0.5,0.5,1.3e-12,32000.0,2e-05
7.5,5.0,18.0,37.5,26.0,2.0,1.0,0.5,0.5,0.5,2e-12,34000.0,1e-05
49.5,1.5,34.0,38.0,16.5,2.0,0.5,1.5,0.5,1.5,9e-13,29500.0,1e-05
34.0,15.0,27.0,17.5,24.0,1.5,1.0,2.0,0.5,0.5,1.3e-12,97000.0,1e-05
45.5,20.5,7.5,14.0,42.0,1.5,1.0,1.0,0.5,2.0,1.8e-12,25000.0,2e-05
35.5,20.5,7.0,47.0,33.0,1.5,1.5,2.0,0.5,0.5,1.3e-12,6000.0,2e-05
14.5,19.5,1.5,48.5,32.5,1.0,1.5,0.5,0.5,2.0,1.9e-12,19500.0,2e-05
48.5,5.5,9.5,21.5,40.0,2.0,1.0,1.5,0.5,1.0,1.9e-12,38000.0,2e-05
36.0,37.0,28.5,39.0,24.5,1.5,1.0,0.5,0.5,0.5,9e-13,32000.0,2e-05
14.0,25.0,27.0,39.0,43.0,1.0,1.0,1.0,0.5,2.0,1.8e-12,19000.0,1e-05
36.0,38.5,28.5,39.0,25.0,1.5,1.0,0.5,0.5,0.5,1.3e-12,32000.0,1e-05
36.0,38.5,28.5,47.0,33.0,1.5,1.5,2.0,0.5,0.5,1.3e-12,32000.0,2e-05
36.0,39.5,18.0,39.0,25.0,2.0,1.5,1.0,0.5,2.0,1.9e-12,53000.0,2e-05
13.5,23.5,25.5,39.0,29.0,1.0,1.5,0.5,0.5,0.5,1.3e-12,19500.0,2e-05
32.5,38.5,17.5,27.0,25.0,2.0,1.0,0.5,0.5,0.5,1.9e-12,27500.0,2e-05
21.5,5.5,12.0,39.5,25.5,1.0,1.5,1.5,1.0,1.0,1e-12,24000.0,1e-05
10.5,5.5,31.0,31.5,26.5,2.0,1.0,2.0,1.5,1.0,1.1e-12,59000.0,1e-05
46.0,20.5,7.0,13.0,43.0,2.0,1.5,1.0,0.5,2.0,1e-12,33000.0,2e-05
12.5,39.0,18.5,37.5,25.5,1.0,1.0,0.5,0.5,0.5,2e-12,19500.0,1e-05
34.0,39.5,18.0,39.0,25.0,2.0,1.5,1.0,0.5,2.0,1.9e-12,19000.0,2e-05
36.0,37.0,13.5,34.5,32.5,1.0,1.0,1.5,1.0,0.5,1.8e-12,39000.0,2e-05
49.0,5.5,9.5,21.5,40.0,2.0,1.0,0.5,0.5,1.0,1.9e-12,35000.0,1e-05
29.0,38.5,19.0,29.5,25.0,1.0,1.0,0.5,0.5,1.5,1.9e-12,21000.0,1e-05
38.5,9.0,18.0,25.5,27.5,2.0,1.0,0.5,0.5,0.5,8e-13,27500.0,2e-05
36.5,25.5,18.0,39.0,25.0,1.5,1.5,0.5,0.5,0.5,1.9e-12,52500.0,2e-05
15.5,39.0,7.5,38.0,38.5,1.5,0.5,1.0,0.5,1.5,9e-13,97500.0,1e-05
15.5,17.0,19.0,4.0,41.0,1.5,2.0,1.0,1.5,2.0,3e-13,88500.0,2e-05
35.5,38.5,28.5,39.0,24.5,1.5,1.5,1.5,0.5,2.0,1.3e-12,15500.0,2e-05
34.0,38.5,25.5,39.0,29.0,1.5,1.5,0.5,0.5,0.5,1.3e-12,1000.0,2e-05
36.0,39.0,28.0,37.5,17.0,1.0,1.5,0.5,0.5,0.5,1.9e-12,32000.0,1e-05
12.0,37.5,24.0,42.5,30.5,1.5,1.5,1.0,0.5,0.5,1.3e-12,52000.0,2e-05
13.0,23.5,31.0,29.5,26.5,1.5,1.0,1.5,0.5,1.0,1.3e-12,32000.0,2e-05
36.0,38.5,28.5,39.0,33.0,1.0,1.5,2.0,0.5,0.5,1.3e-12,19500.0,2e-05
36.0,39.5,28.0,39.0,25.0,1.5,1.0,2.0,0.5,0.5,1.9e-12,32000.0,1e-05
15.5,25.5,18.0,38.0,25.0,1.5,1.5,2.0,0.5,0.5,1.9e-12,52500.0,2e-05
15.0,23.5,7.0,39.0,43.0,1.0,1.0,1.0,0.5,2.0,1.7e-12,68500.0,2e-05
14.5,9.5,24.0,39.0,30.5,1.5,1.5,0.5,0.5,0.5,1.3e-12,19000.0,2e-05
46.0,39.5,7.0,39.0,43.5,2.0,1.5,1.0,0.5,2.0,1.9e-12,23000.0,2e-05
34.0,6.0,27.0,22.5,25.0,2.0,1.5,1.5,0.5,0.5,1.3e-12,35000.0,2e-05
36.0,38.5,29.0,39.0,25.0,1.5,1.5,0.5,0.5,0.5,1.3e-12,24000.0,1e-05
31.0,38.5,20.0,29.5,25.0,1.0,1.0,0.5,0.5,1.5,1.9e-12,21000.0,1e-05
10.5,24.0,25.5,29.5,25.5,1.5,1.0,1.5,0.5,0.5,1.7e-12,32000.0,2e-05
15.5,22.0,1.5,48.5,32.5,1.0,1.5,0.5,0.5,2.0,1.3e-12,19500.0,2e-05
34.0,31.5,13.5,47.5,33.0,1.5,1.5,1.0,1.0,2.0,1.8e-12,33500.0,1e-05
36.0,38.5,28.5,29.5,26.5,1.5,1.0,1.5,0.5,1.0,1.2e-12,19000.0,1e-05
34.0,39.5,8.0,37.0,25.0,2.0,1.5,1.0,0.5,2.0,2e-12,17000.0,1e-05
10.5,3.0,9.5,21.5,40.0,0.5,0.5,1.5,0.5,1.0,1.9e-12,35000.0,1e-05
10.5,24.0,31.0,29.5,24.0,1.0,1.0,1.5,0.5,1.0,9e-13,19500.0,2e-05
